Stage,Rank,Name,HandleName,Nationality,Division,Impacts,SuccessRate,Dropped,Score,Progress,Time,Status
D2 Stage: 14 Steps to Recovery,20,Jeanette Coetzee,JeanetteCoetzee,South Africa,Ladies,7,58.33%,-5,58.33%,10/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,21,Liezel Foot,TheFoot,South Africa,Ladies,7,58.33%,-5,58.33%,12/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,22,Stelios Christofi,Stel,South Africa,Factory,7,58.33%,-5,58.33%,10/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,23,Andre Steenkamp,andre_intouch,South Africa,Senior,6,50.00%,-6,50.00%,12/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,24,Ignatius Lambert,Skurmonkel,South Africa,Open,6,50.00%,-6,50.00%,10/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,25,Johan Symington,asymington,South Africa,Junior,6,50.00%,-6,50.00%,10/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,26,Andre Symington,JohanSym,South Africa,Senior,5,41.67%,-7,41.67%,9/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,27,Greg  Sykes,Gregs,South Africa,Senior,5,41.67%,-7,41.67%,12/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,28,Werner Walkinshaw,WernerWW,South Africa,Open,5,41.67%,-7,41.67%,12/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,29,Wynand Brand,Wynand,South Africa,Open,4,33.33%,-8,33.33%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,1,Dehan Lotz,Lotz,South Africa,Open,12,100.00%,0,100.00%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,2,Gerhard Slabbert,Gerhard,South Africa,Open,12,100.00%,0,100.00%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,3,Jeanette Coetzee,JeanetteCoetzee,South Africa,Ladies,12,100.00%,0,100.00%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,4,Kevin Goncalves,Kevo_,South Africa,Factory,12,100.00%,0,100.00%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,5,Malcolm  Coetzee,MalcolmCoetzee,South Africa,Open,12,100.00%,0,100.00%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,6,Pieter le Roux,gokinetix,South Africa,Factory,12,100.00%,0,100.00%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,7,Riaan  Kunneke ,Nunuz007,South Africa,Senior,12,100.00%,0,100.00%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,8,Andre Symington,JohanSym,South Africa,Senior,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,9,Asharuf  Moorad ,Asharuf,South Africa,Open,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,10,Glen Clark ,Glen,South Africa,Senior,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,11,Hugo Coetzee,kleinplasie15,South Africa,Open,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,12,Jaco Bosman,JacoBos,South Africa,Open,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,13,Johan Symington,asymington,South Africa,Junior,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,14,Kobus Swart,kobusswart31,South Africa,Open,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,15,Sean Graham,SeanGraham,South Africa,Open,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,16,Stelios Christofi,Stel,South Africa,Factory,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,17,Werner Walkinshaw,WernerWW,South Africa,Open,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,18,Wynand Brand,Wynand,South Africa,Open,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,19,Dumisani Shabangu,Dumisani,South Africa,Open,10,83.33%,-2,83.33%,11/12,0.00,Completed
D2 Stage: 15 Drum Solo,20,Grant Bower,GeeBee,South Africa,Factory,10,83.33%,-2,83.33%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,21,Greg  Sykes,Gregs,South Africa,Senior,10,83.33%,-2,83.33%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,22,Le Riche Coetzer Snr,Uncle_SAPRF,South Africa,Senior,10,83.33%,-2,83.33%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,23,Liezel Foot,TheFoot,South Africa,Ladies,10,83.33%,-2,83.33%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,24,Andre Steenkamp,andre_intouch,South Africa,Senior,9,75.00%,-3,75.00%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,25,Angelo van Zyl,AngeloZ,South Africa,Open,9,75.00%,-3,75.00%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,26,Handre van Niekerk,havn,South Africa,Factory,9,75.00%,-3,75.00%,11/12,0.00,Completed
D2 Stage: 15 Drum Solo,27,Andries Lategan,Lategan,South Africa,Senior,8,66.67%,-4,66.67%,12/12,0.00,Completed
D2 Stage: 15 Drum Solo,28,Marieke Van Rooyen,Marieke,South Africa,Ladies,8,66.67%,-4,66.67%,10/12,0.00,Completed
D2 Stage: 15 Drum Solo,29,Ignatius Lambert,Skurmonkel,South Africa,Open,6,50.00%,-6,50.00%,12/12,0.00,Completed
