Stage,Rank,Name,HandleName,Nationality,Division,Impacts,SuccessRate,Dropped,Score,Progress,Time,Status
Stage: 5 Downhill Battle,26,Grant Bower,GeeBee,South Africa,Factory,4,33.33%,-8,33.33%,10/12,0.00,Completed
Stage: 5 Downhill Battle,27,Ignatius Lambert,Skurmonkel,South Africa,Open,4,33.33%,-8,33.33%,10/12,0.00,Completed
Stage: 5 Downhill Battle,28,Glen Clark ,Glen,South Africa,Senior,3,25.00%,-9,25.00%,9/12,0.00,Completed
Stage: 5 Downhill Battle,29,Andre Steenkamp,andre_intouch,South Africa,Senior,2,16.67%,-10,16.67%,9/12,0.00,Completed
Stage: 6 Tread Lightly,1,Asharuf  Moorad ,Asharuf,South Africa,Open,10,100.00%,0,100.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,2,Andre Symington,JohanSym,South Africa,Senior,9,90.00%,-1,90.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,3,Andries Lategan,Lategan,South Africa,Senior,9,90.00%,-1,90.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,4,Hugo Coetzee,kleinplasie15,South Africa,Open,9,90.00%,-1,90.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,5,Jeanette Coetzee,JeanetteCoetzee,South Africa,Ladies,9,90.00%,-1,90.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,6,Kevin Goncalves,Kevo_,South Africa,Factory,9,90.00%,-1,90.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,7,Malcolm  Coetzee,MalcolmCoetzee,South Africa,Open,9,90.00%,-1,90.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,8,Dumisani Shabangu,Dumisani,South Africa,Open,8,80.00%,-2,80.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,9,Gerhard Slabbert,Gerhard,South Africa,Open,8,80.00%,-2,80.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,10,Kobus Swart,kobusswart31,South Africa,Open,8,80.00%,-2,80.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,11,Riaan  Kunneke ,Nunuz007,South Africa,Senior,8,80.00%,-2,80.00%,9/10,0.00,Completed
Stage: 6 Tread Lightly,12,Sean Graham,SeanGraham,South Africa,Open,8,80.00%,-2,80.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,13,Andre Steenkamp,andre_intouch,South Africa,Senior,7,70.00%,-3,70.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,14,Johan Symington,asymington,South Africa,Junior,7,70.00%,-3,70.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,15,Le Riche Coetzer Snr,Uncle_SAPRF,South Africa,Senior,7,70.00%,-3,70.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,16,Pieter le Roux,gokinetix,South Africa,Factory,7,70.00%,-3,70.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,17,Angelo van Zyl,AngeloZ,South Africa,Open,6,60.00%,-4,60.00%,10/10,0.00,Completed
